name,genre,released,score,star,country,budget,gross,star2,star3
The Disappearance of Alice Creed,Crime,"April 30, 2010 (United Kingdom)",6.7,Gemma Arterton,United Kingdom,800000,896919,Jennifer Aniston,Emily Blunt
"The Goods: Live Hard, Sell Hard",Comedy,"August 14, 2009 (United States)",5.8,Jeremy Piven,United States,10000000,15300885,Viola Davis,Tom Cruise
Miss March,Comedy,"March 13, 2009 (United States)",5.0,Zach Cregger,United States,6000000,4591629,Reese Witherspoon,Matt Damon
Cirque du Freak: the Vampire's Assistant,Action,"October 23, 2009 (United States)",5.8,Chris Massoglia,United States,40000000,39291383,Saoirse Ronan,Natalie Portman
Aliens in the Attic,Adventure,"July 31, 2009 (United States)",5.4,Ashley Tisdale,United States,45000000,57881056,Mark Ruffalo,Amy Adams
Street Fighter: The Legend of Chun-Li,Action,"February 27, 2009 (United States)",3.7,Kristin Kreuk,Canada,18000000,12764201,Julia Roberts,George Clooney
Broken Embraces,Drama,"January 15, 2010 (United States)",7.2,Penélope Cruz,Spain,18000000,37472736,Angelina Jolie,Tom Cruise
The Damned United,Biography,"March 27, 2009 (United Kingdom)",7.5,Colm Meaney,United Kingdom,10000000,4091378,Robert De Niro,Samuel L. Jackson
Gentlemen Broncos,Adventure,"May 27, 2010 (Germany)",6.2,Michael Angarano,United States,10000000,118492,Emma Stone,Will Smith
Chéri,Comedy,"July 17, 2009 (United States)",6.2,Michelle Pfeiffer,United Kingdom,23000000,9368242,Tom Hanks,Viola Davis
Tanner Hall,Drama,"January 15, 2015 (Sweden)",5.8,Rooney Mara,United States,3000000,5073,Leonardo DiCaprio,Javier Bardem
[Rec]²,Horror,"October 2, 2009 (Spain)",6.5,Jonathan D. Mellor,Spain,5600000,18853164,Octavia Spencer,Lupita Nyong'o
Inception,Action,"July 16, 2010 (United States)",8.8,Leonardo DiCaprio,United States,160000000,836836967,Nicole Kidman,Natalie Portman
Iron Man 2,Action,"May 7, 2010 (United States)",7.0,Robert Downey Jr.,United States,200000000,623933331,Leonardo DiCaprio,Denzel Washington
Shutter Island,Mystery,"February 19, 2010 (United States)",8.2,Leonardo DiCaprio,United States,80000000,294805697,Christian Bale,Angelina Jolie
Scott Pilgrim vs. the World,Action,"August 13, 2010 (United States)",7.5,Michael Cera,United States,60000000,48917974,Idris Elba,Daniel Day-Lewis
Grown Ups,Comedy,"June 25, 2010 (United States)",5.9,Adam Sandler,United States,80000000,271457301,Emma Stone,Saoirse Ronan
She's Out of My League,Comedy,"March 12, 2010 (United States)",6.4,Jay Baruchel,United States,20000000,49779728,Tilda Swinton,Denzel Washington
Kick-Ass,Action,"April 16, 2010 (United States)",7.6,Aaron Taylor-Johnson,United Kingdom,30000000,96188903,Mark Ruffalo,Joaquin Phoenix
Black Swan,Drama,"December 17, 2010 (United States)",8.0,Natalie Portman,United States,13000000,329398046,Samuel L. Jackson,Michael Fassbender
The Town,Crime,"September 17, 2010 (United States)",7.5,Ben Affleck,United States,37000000,154026136,Natalie Portman,Sandra Bullock
Flipped,Comedy,"September 10, 2010 (United States)",7.7,Madeline Carroll,United States,14000000,4324817,Jennifer Lawrence,Tom Cruise
The Social Network,Biography,"October 1, 2010 (United States)",7.7,Jesse Eisenberg,United States,40000000,224920375,Angelina Jolie,Leonardo DiCaprio
Robin Hood,Action,"May 14, 2010 (United States)",6.6,Russell Crowe,United States,200000000,321669741,Robert De Niro,Hugh Jackman
Monsters,Adventure,"December 3, 2010 (United Kingdom)",6.4,Scoot McNairy,United Kingdom,500000,5060438,Denzel Washington,Morgan Freeman
Insidious,Horror,"April 1, 2011 (United States)",6.8,Patrick Wilson,United States,1500000,99557032,Marion Cotillard,Nicole Kidman
Tangled,Animation,"November 24, 2010 (United States)",7.7,Mandy Moore,United States,260000000,592462816,Ryan Gosling,Daniel Day-Lewis
RED,Action,"October 15, 2010 (United States)",7.0,Bruce Willis,United States,58000000,199006387,Benedict Cumberbatch,Denzel Washington
I Spit on Your Grave,Horror,"January 20, 2011 (Argentina)",6.3,Sarah Butler,United States,2000000,1278650,Tom Cruise,Javier Bardem
The Last Airbender,Action,"July 1, 2010 (United States)",4.0,Noah Ringer,United States,150000000,319713881,Tilda Swinton,Mark Ruffalo
How to Train Your Dragon,Animation,"March 26, 2010 (United States)",8.1,Jay Baruchel,United States,165000000,494879471,Tom Cruise,Chris Evans
The American,Crime,"September 1, 2010 (United States)",6.3,George Clooney,United States,20000000,67876281,Denzel Washington,Morgan Freeman
Incendies,Drama,"January 12, 2011 (France)",8.3,Lubna Azabal,Canada,6800000,7099598,Charlize Theron,Jennifer Aniston
Sex and the City 2,Comedy,"May 27, 2010 (United States)",4.5,Sarah Jessica Parker,United States,100000000,290745055,Natalie Portman,Samuel L. Jackson
Burlesque,Drama,"November 24, 2010 (United States)",6.4,Cher,United States,55000000,89520336,Robert De Niro,Marion Cotillard
Alice in Wonderland,Adventure,"March 5, 2010 (United States)",6.4,Mia Wasikowska,United States,200000000,1025468216,Daniel Day-Lewis,Charlize Theron
Despicable Me,Animation,"July 9, 2010 (United States)",7.6,Steve Carell,United States,69000000,543113985,Chris Evans,Michael Fassbender
Love & Other Drugs,Comedy,"November 24, 2010 (United States)",6.7,Jake Gyllenhaal,United States,30000000,102820008,Christian Bale,Emma Stone
True Grit,Drama,"December 22, 2010 (United States)",7.6,Jeff Bridges,United States,38000000,252276927,Angelina Jolie,Hugh Jackman
The Tourist,Action,"December 10, 2010 (United States)",6.0,Johnny Depp,United States,100000000,278780441,Saoirse Ronan,Anne Hathaway
The Twilight Saga: Eclipse,Action,"June 30, 2010 (United States)",5.0,Kristen Stewart,United States,68000000,698491347,Tom Hanks,Samuel L. Jackson
Percy Jackson & the Olympians: The Lightning Thief,Adventure,"February 12, 2010 (United States)",5.9,Logan Lerman,United Kingdom,95000000,226497209,Will Smith,Denzel Washington
Clash of the Titans,Action,"April 2, 2010 (United States)",5.8,Sam Worthington,United States,125000000,493214993,Hugh Jackman,Octavia Spencer
The Book of Eli,Action,"January 15, 2010 (United States)",6.9,Denzel Washington,United States,80000000,157107755,Christian Bale,Daniel Day-Lewis
Blue Valentine,Drama,"January 28, 2011 (United States)",7.3,Ryan Gosling,United States,1000000,15440333,Octavia Spencer,Samuel L. Jackson
Knight and Day,Action,"June 23, 2010 (United States)",6.3,Tom Cruise,United States,117000000,261989769,Javier Bardem,Ryan Gosling
Piranha 3D,Comedy,"August 20, 2010 (United States)",5.4,Elisabeth Shue,United States,24000000,83188165,Tom Cruise,Reese Witherspoon
127 Hours,Biography,"January 28, 2011 (United States)",7.5,James Franco,United States,18000000,60738797,Viola Davis,Amy Adams
The Expendables,Action,"August 13, 2010 (United States)",6.5,Sylvester Stallone,United States,80000000,274470394,Kate Winslet,Daniel Day-Lewis
The Other Guys,Action,"August 6, 2010 (United States)",6.6,Will Ferrell,United States,100000000,170458922,Will Smith,Daniel Day-Lewis
TRON: Legacy,Action,"December 17, 2010 (United States)",6.8,Jeff Bridges,United States,170000000,400063852,Samuel L. Jackson,Ryan Gosling
Life as We Know It,Comedy,"October 8, 2010 (United States)",6.5,Katherine Heigl,United States,38000000,105734416,Julia Roberts,Viola Davis
Toy Story 3,Animation,"June 18, 2010 (United States)",8.2,Tom Hanks,United States,200000000,1066970811,Sandra Bullock,George Clooney
The Next Three Days,Action,"November 19, 2010 (United States)",7.3,Russell Crowe,United States,30000000,67448651,Joaquin Phoenix,Robert De Niro
Easy A,Comedy,"September 17, 2010 (United States)",7.0,Emma Stone,United States,8000000,75026327,Brad Pitt,Kate Winslet
The King's Speech,Biography,"December 25, 2010 (United States)",8.0,Colin Firth,United Kingdom,15000000,427374317,Benedict Cumberbatch,Samuel L. Jackson
The Fighter,Biography,"December 17, 2010 (United States)",7.8,Mark Wahlberg,United States,25000000,129190869,Lupita Nyong'o,Tom Hanks
Machete,Action,"September 3, 2010 (United States)",6.6,Danny Trejo,United States,10500000,45491656,Anne Hathaway,Viola Davis
The Debt,Drama,"August 31, 2011 (United States)",6.8,Helen Mirren,United States,20000000,45636368,Nicole Kidman,Joaquin Phoenix
Megamind,Animation,"November 5, 2010 (United States)",7.2,Will Ferrell,United States,130000000,321885765,Brad Pitt,Johnny Depp
The Losers,Action,"April 23, 2010 (United States)",6.3,Idris Elba,United States,25000000,29397654,Natalie Portman,Daniel Day-Lewis
Unstoppable,Action,"November 12, 2010 (United States)",6.8,Denzel Washington,United States,100000000,167805466,Joaquin Phoenix,Benedict Cumberbatch
The Karate Kid,Action,"June 11, 2010 (United States)",6.2,Jackie Chan,United States,40000000,359126022,Reese Witherspoon,Anne Hathaway
Eat Pray Love,Biography,"August 13, 2010 (United States)",5.8,Julia Roberts,United States,60000000,204594016,Mark Ruffalo,Javier Bardem
Centurion,Action,"July 30, 2010 (United States)",6.3,Michael Fassbender,United Kingdom,12000000,6890432,Leonardo DiCaprio,Leonardo DiCaprio
The A-Team,Action,"June 11, 2010 (United States)",6.7,Liam Neeson,United States,110000000,177238796,Scarlett Johansson,Viola Davis
Hot Tub Time Machine,Comedy,"March 26, 2010 (United States)",6.4,John Cusack,United States,36000000,64780213,Will Smith,Sandra Bullock
Prince of Persia: the Sands of Time,Action,"May 28, 2010 (United States)",6.6,Jake Gyllenhaal,United States,200000000,336365676,Natalie Portman,Idris Elba
Diary of a Wimpy Kid,Animation,"March 19, 2010 (United States)",6.2,Zachary Gordon,United States,15000000,76196538,Jake Gyllenhaal,Matt Damon
Never Let Me Go,Drama,"October 15, 2010 (United States)",7.1,Keira Knightley,United Kingdom,15000000,9918093,Samuel L. Jackson,Lupita Nyong'o
Predators,Action,"July 9, 2010 (United States)",6.4,Adrien Brody,United States,40000000,127233108,Julia Roberts,Marion Cotillard
Buried,Drama,"October 15, 2010 (United States)",7.0,Ryan Reynolds,Spain,3000000,19439764,Anne Hathaway,Morgan Freeman
Legion,Action,"January 22, 2010 (United States)",5.3,Paul Bettany,United States,26000000,67918658,Matt Damon,Octavia Spencer
Remember Me,Drama,"March 12, 2010 (United States)",7.1,Robert Pattinson,United States,16000000,56032889,Joaquin Phoenix,Michael Fassbender
Jonah Hex,Action,"June 18, 2010 (United States)",4.7,Josh Brolin,United States,47000000,10903312,Javier Bardem,Jake Gyllenhaal
Salt,Action,"July 23, 2010 (United States)",6.4,Angelina Jolie,United States,110000000,293503354,Sandra Bullock,Chris Evans
Morning Glory,Comedy,"November 10, 2010 (United States)",6.5,Rachel McAdams,United States,40000000,60040976,Sandra Bullock,Saoirse Ronan
Winter's Bone,Drama,"July 16, 2010 (United States)",7.2,Jennifer Lawrence,United States,2000000,13796834,Mark Ruffalo,Julia Roberts
A Nightmare on Elm Street,Crime,"April 30, 2010 (United States)",5.2,Jackie Earle Haley,United States,35000000,115695182,Anne Hathaway,Denzel Washington
Resident Evil: Afterlife,Action,"September 10, 2010 (United States)",5.8,Milla Jovovich,Germany,60000000,300228084,Tilda Swinton,Mark Ruffalo
Takers,Action,"August 27, 2010 (United States)",6.2,Chris Brown,United States,32000000,80205382,Tom Hanks,Daniel Day-Lewis
The Way Back,Adventure,"January 21, 2011 (United States)",7.3,Jim Sturgess,United States,30000000,24172201,George Clooney,Lupita Nyong'o
Killers,Action,"June 4, 2010 (United States)",5.5,Katherine Heigl,United States,75000000,98159963,Anne Hathaway,Denzel Washington
Due Date,Comedy,"November 5, 2010 (United States)",6.5,Robert Downey Jr.,United States,65000000,211780824,Octavia Spencer,Joaquin Phoenix
Devil,Horror,"September 17, 2010 (United States)",6.2,Chris Messina,United States,10000000,62695489,Michael Fassbender,Marion Cotillard
Green Zone,Action,"March 12, 2010 (United States)",6.8,Matt Damon,United Kingdom,100000000,154711438,Chris Evans,Michael Fassbender
Faster,Action,"November 24, 2010 (United States)",6.4,Dwayne Johnson,United States,24000000,35626958,Cate Blanchett,Sandra Bullock
Super,Action,"June 10, 2011 (Iceland)",6.7,Rainn Wilson,United States,2500000,422618,Saoirse Ronan,Daniel Day-Lewis
It's Kind of a Funny Story,Comedy,"October 8, 2010 (United States)",7.1,Keir Gilchrist,United States,8000000,6491240,Viola Davis,Nicole Kidman
The Crazies,Horror,"February 26, 2010 (United States)",6.5,Radha Mitchell,United States,20000000,54806823,Octavia Spencer,Marion Cotillard
Shrek Forever After,Animation,"May 21, 2010 (United States)",6.3,Mike Myers,United States,165000000,752600867,Tom Hanks,Emily Blunt
The Chronicles of Narnia: the Voyage of the Dawn Treader,Adventure,"December 10, 2010 (United States)",6.3,Ben Barnes,United States,155000000,415686217,Jennifer Aniston,Michael Fassbender
Let Me In,Drama,"October 1, 2010 (United States)",7.1,Kodi Smit-McPhee,United Kingdom,20000000,27093592,Julia Roberts,Octavia Spencer
The Kids Are All Right,Comedy,"July 30, 2010 (United States)",7.0,Annette Bening,United States,4000000,34758951,Brad Pitt,Viola Davis
Date Night,Comedy,"April 9, 2010 (United States)",6.3,Steve Carell,United States,55000000,152263880,Colin Firth,Idris Elba
Leap Year,Comedy,"January 8, 2010 (United States)",6.5,Amy Adams,United States,19000000,32686500,Octavia Spencer,Leonardo DiCaprio
Little Fockers,Comedy,"December 22, 2010 (United States)",5.5,Ben Stiller,United States,100000000,310650585,Viola Davis,Anne Hathaway
The Runaways,Biography,"April 8, 2010 (Malaysia)",6.5,Kristen Stewart,United States,10000000,4681651,Idris Elba,Morgan Freeman
The Sorcerer's Apprentice,Action,"July 14, 2010 (United States)",6.1,Nicolas Cage,United States,150000000,215283742,Anne Hathaway,Amy Adams
MacGruber,Action,"May 21, 2010 (United States)",5.5,Will Forte,United States,10000000,9322895,Tom Cruise,Tom Hanks
The Ghost Writer,Crime,"March 19, 2010 (United States)",7.2,Ewan McGregor,France,45000000,60331447,Brad Pitt,Anne Hathaway
Skyline,Action,"November 12, 2010 (United States)",4.4,Eric Balfour,United States,10000000,66984887,Christian Bale,Javier Bardem
Edge of Darkness,Action,"January 29, 2010 (United States)",6.6,Mel Gibson,United Kingdom,80000000,81126522,Natalie Portman,Hugh Jackman
Ramona and Beezus,Comedy,"July 23, 2010 (United States)",6.5,Joey King,United States,15000000,27293743,Helen Mirren,Julia Roberts
Valentine's Day,Comedy,"February 12, 2010 (United States)",5.7,Julia Roberts,United States,52000000,216485654,Colin Firth,Johnny Depp
Letters to Juliet,Adventure,"May 14, 2010 (United States)",6.5,Amanda Seyfried,United States,30000000,79628830,Ryan Gosling,Emily Blunt
Dear John,Drama,"February 5, 2010 (United States)",6.3,Channing Tatum,United States,25000000,114984666,Angelina Jolie,Sandra Bullock
Get Him to the Greek,Comedy,"June 4, 2010 (United States)",6.3,Jonah Hill,United States,40000000,91720255,Tom Cruise,Denzel Washington
Dinner for Schmucks,Comedy,"July 30, 2010 (United States)",5.9,Steve Carell,United States,69000000,86855739,Anne Hathaway,George Clooney
How Do You Know,Comedy,"December 17, 2010 (United States)",5.4,Reese Witherspoon,United States,120000000,48668907,Scarlett Johansson,George Clooney
The Secret World of Arrietty,Animation,"February 17, 2012 (United States)",7.6,Amy Poehler,Japan,23000000,149411550,Reese Witherspoon,Brad Pitt
Gulliver's Travels,Adventure,"December 25, 2010 (United States)",4.9,Jack Black,United States,112000000,237382724,Saoirse Ronan,Javier Bardem
Tooth Fairy,Comedy,"January 22, 2010 (United States)",5.0,Dwayne Johnson,United States,48000000,112462508,Will Smith,Tom Hanks
The Switch,Comedy,"August 20, 2010 (United States)",6.1,Jennifer Aniston,United States,19000000,49843011,Viola Davis,Idris Elba
Step Up,Drama,"August 6, 2010 (United States)",6.2,Sharni Vinson,United States,30000000,159291809,Rachel McAdams,Julia Roberts
Wall Street: Money Never Sleeps,Drama,"September 24, 2010 (United States)",6.2,Shia LaBeouf,United States,70000000,134748021,Leonardo DiCaprio,Denzel Washington
The Last Song,Drama,"March 31, 2010 (United States)",6.0,Miley Cyrus,United States,20000000,89137047,Emma Stone,Anne Hathaway
Cop Out,Action,"February 26, 2010 (United States)",5.6,Bruce Willis,United States,30000000,55611001,Samuel L. Jackson,Sandra Bullock
Rubber,Comedy,"November 10, 2010 (France)",5.8,Stephen Spinella,France,500000,101729,Emily Blunt,Jennifer Aniston
You Again,Comedy,"September 24, 2010 (United States)",5.8,Kristen Bell,United States,20000000,32054369,Brad Pitt,Leonardo DiCaprio
The Bounty Hunter,Action,"March 19, 2010 (United States)",5.6,Jennifer Aniston,United States,40000000,136333522,Anne Hathaway,Natalie Portman
From Paris with Love,Action,"February 5, 2010 (United States)",6.4,John Travolta,France,52000000,52844496,Morgan Freeman,Jennifer Lawrence
13 Assassins,Action,"September 25, 2010 (Japan)",7.6,Kôji Yakusho,Japan,6000000,18689058,Meryl Streep,Jennifer Aniston
Nanny McPhee Returns,Comedy,"August 20, 2010 (United States)",6.1,Emma Thompson,United Kingdom,35000000,93251121,Marion Cotillard,Angelina Jolie
Wild Target,Action,"June 18, 2010 (United Kingdom)",6.8,Bill Nighy,United Kingdom,8000000,3494154,Daniel Day-Lewis,Tom Hanks
When in Rome,Comedy,"January 29, 2010 (United States)",5.6,Kristen Bell,United States,55000000,43053376,Kate Winslet,Anne Hathaway
Going the Distance,Comedy,"September 3, 2010 (United States)",6.3,Drew Barrymore,United States,32000000,42059111,George Clooney,Angelina Jolie
Somewhere,Comedy,"January 21, 2011 (United States)",6.3,Stephen Dorff,United States,7000000,14788642,George Clooney,Charlize Theron
Secretariat,Biography,"October 8, 2010 (United States)",7.2,Diane Lane,United States,35000000,60321861,Marion Cotillard,Benedict Cumberbatch
Death at a Funeral,Comedy,"April 16, 2010 (United States)",5.7,Chris Rock,United States,21000000,49050886,Brad Pitt,Natalie Portman
The Spy Next Door,Action,"January 15, 2010 (United States)",5.5,Jackie Chan,United States,28000000,66166000,Emily Blunt,Benedict Cumberbatch
Hereafter,Drama,"October 22, 2010 (United States)",6.4,Matt Damon,United States,50000000,106956330,Saoirse Ronan,Lupita Nyong'o
Repo Men,Action,"March 19, 2010 (United States)",6.3,Jude Law,United States,32000000,18409891,Michael Fassbender,Daniel Day-Lewis
Vampires Suck,Comedy,"August 18, 2010 (United States)",3.4,Jenn Proske,United States,20000000,80547866,Jake Gyllenhaal,Emma Stone
Twelve,Action,"August 6, 2010 (United States)",5.6,Chace Crawford,United States,5000000,2648195,Meryl Streep,Natalie Portman
Beginners,Comedy,"June 9, 2011 (Germany)",7.2,Ewan McGregor,United States,3200000,14311701,Chris Evans,Morgan Freeman
Legend of the Guardians: the Owls of Ga'Hoole,Animation,"September 24, 2010 (United States)",6.9,Jim Sturgess,United States,80000000,140073390,Daniel Day-Lewis,Mark Ruffalo
Rabbit Hole,Drama,"January 28, 2011 (United States)",7.0,Nicole Kidman,United States,5000000,5144717,Helen Mirren,Hugh Jackman
Meek's Cutoff,Adventure,"April 15, 2011 (United Kingdom)",6.6,Michelle Williams,United States,2000000,1205257,Kate Winslet,Anne Hathaway
Conviction,Biography,"November 5, 2010 (United States)",7.2,Hilary Swank,Switzerland,12500000,11104555,Marion Cotillard,Michael Fassbender
Trust,Crime,"April 28, 2011 (Israel)",6.9,Clive Owen,United States,4000000,595802,Rachel McAdams,Daniel Day-Lewis
My Name Is Khan,Drama,"February 12, 2010 (United States)",8.0,Shah Rukh Khan,India,12000000,42345360,Jennifer Lawrence,Natalie Portman
The Company Men,Drama,"February 11, 2011 (United States)",6.7,Ben Affleck,United States,15000000,8087000,Mark Ruffalo,Tilda Swinton
Cyrus,Comedy,"July 16, 2010 (United States)",6.3,John C. Reilly,United States,7000000,9933873,Javier Bardem,Meryl Streep
Paranormal Activity 2,Horror,"October 22, 2010 (United States)",5.7,Katie Featherston,United States,3000000,177512032,Michael Fassbender,Natalie Portman
The Killer Inside Me,Crime,"June 8, 2010 (United Kingdom)",6.1,Casey Affleck,United Kingdom,13000000,4052191,Joaquin Phoenix,Matt Damon
The Extra Man,Comedy,"January 27, 2011 (Greece)",5.8,Kevin Kline,France,7000000,649626,Leonardo DiCaprio,Angelina Jolie
Stone,Drama,"October 22, 2010 (United States)",5.4,Edward Norton,United States,22000000,10300416,Brad Pitt,Michael Fassbender
Why Did I Get Married Too?,Comedy,"April 2, 2010 (United States)",4.7,Janet Jackson,United States,20000000,60673972,Denzel Washington,Michael Fassbender
The Last Exorcism,Horror,"August 27, 2010 (United States)",5.7,Patrick Fabian,France,1800000,69432527,Octavia Spencer,Christian Bale
Dirty Girl,Comedy,"July 7, 2011 (Thailand)",6.4,Juno Temple,United States,4000000,143485,Emma Stone,Christian Bale
London Boulevard,Crime,"November 26, 2010 (United Kingdom)",6.2,Colin Farrell,United States,25000000,8307227,Robert De Niro,Amy Adams
Fair Game,Biography,"December 3, 2010 (United States)",6.8,Naomi Watts,United States,22000000,25806953,Hugh Jackman,Joaquin Phoenix
The Back-up Plan,Comedy,"April 23, 2010 (United States)",5.4,Jennifer Lopez,United States,35000000,77477008,Marion Cotillard,Sandra Bullock
Don't Be Afraid of the Dark,Fantasy,"August 26, 2011 (United States)",5.6,Katie Holmes,United States,25000000,38269529,Tom Cruise,Robert De Niro
Country Strong,Drama,"January 7, 2011 (United States)",6.3,Garrett Hedlund,United States,15000000,20529194,Tom Cruise,Tom Hanks
Charlie St. Cloud,Drama,"July 30, 2010 (United States)",6.4,Zac Efron,United States,44000000,48190704,Jake Gyllenhaal,Tom Hanks
Stake Land,Drama,"June 17, 2011 (Ireland)",6.5,Connor Paolo,United States,650000,405380,Charlize Theron,Cate Blanchett
Vanishing on 7th Street,Horror,"February 5, 2011 (Japan)",4.9,Hayden Christensen,United States,10000000,1671196,Tilda Swinton,Meryl Streep
Barney's Version,Comedy,"February 18, 2011 (United States)",7.3,Paul Giamatti,Italy,30000000,12106921,Cate Blanchett,Colin Firth
You Will Meet a Tall Dark Stranger,Comedy,"October 22, 2010 (United States)",6.3,Anthony Hopkins,United States,22000000,36015260,Leonardo DiCaprio,Leonardo DiCaprio
The Conspirator,Crime,"April 15, 2011 (United States)",6.9,Robin Wright,United States,25000000,15625544,Colin Firth,Amy Adams
Furry Vengeance,Comedy,"April 30, 2010 (United States)",3.8,Brendan Fraser,United Kingdom,35000000,36351945,Idris Elba,Scarlett Johansson
The Tempest,Comedy,"January 7, 2011 (Brazil)",5.4,Helen Mirren,United States,20000000,405861,Benedict Cumberbatch,Idris Elba
Henry's Crime,Comedy,"January 14, 2011 (United Kingdom)",6.0,Keanu Reeves,United States,12000000,2169799,Meryl Streep,Sandra Bullock
Extraordinary Measures,Drama,"January 22, 2010 (United States)",6.4,Brendan Fraser,United States,31000000,15134293,Will Smith,Tilda Swinton
Yogi Bear,Animation,"December 17, 2010 (United States)",4.6,Dan Aykroyd,United States,80000000,203509374,Jennifer Aniston,Angelina Jolie
My Soul to Take,Horror,"October 8, 2010 (United States)",4.8,Max Thieriot,United States,25000000,21500813,Jennifer Lawrence,Leonardo DiCaprio
The Warrior's Way,Action,"December 3, 2010 (United States)",6.3,Jang Dong-Gun,New Zealand,42000000,11103434,Kate Winslet,Joaquin Phoenix
Hatchet II,Action,November 2010 (Australia),5.5,Danielle Harris,United States,800000,156190,Leonardo DiCaprio,Jake Gyllenhaal
Hesher,Drama,"June 25, 2011 (Japan)",7.0,Joseph Gordon-Levitt,United States,7000000,449702,Tom Hanks,Joaquin Phoenix
For Colored Girls,Drama,"November 5, 2010 (United States)",6.1,Janet Jackson,United States,21000000,37981984,Denzel Washington,Cate Blanchett
The Perfect Host,Comedy,"May 7, 2011 (Japan)",6.8,David Hyde Pierce,United States,500000,453708,Octavia Spencer,Jennifer Aniston
Love Ranch,Biography,"January 6, 2011 (Netherlands)",5.6,Helen Mirren,Germany,25000000,146149,Christian Bale,Denzel Washington
Passion Play,Drama,"July 2, 2011 (Taiwan)",4.6,Mickey Rourke,United States,8000000,25603,Benedict Cumberbatch,Denzel Washington
Everything Must Go,Drama,"October 14, 2011 (United Kingdom)",6.4,Will Ferrell,United States,5000000,2820490,Jennifer Aniston,Johnny Depp
Captain America: the First Avenger,Action,"July 22, 2011 (United States)",6.9,Chris Evans,United States,140000000,370569774,Tom Hanks,Tom Cruise
Thor,Action,"May 6, 2011 (United States)",7.0,Chris Hemsworth,United States,150000000,449326618,Idris Elba,Tom Hanks
Harry Potter and the Deathly Hallows: Part 2,Adventure,"July 15, 2011 (United States)",8.1,Daniel Radcliffe,United Kingdom,125000000,1342321665,Amy Adams,Tom Cruise
Take Shelter,Drama,"November 10, 2011 (Croatia)",7.4,Michael Shannon,United States,5000000,3741098,Colin Firth,Julia Roberts
Bridesmaids,Comedy,"May 13, 2011 (United States)",6.8,Kristen Wiig,United States,32500000,288383523,Meryl Streep,Helen Mirren
Fast Five,Action,"April 29, 2011 (United States)",7.3,Vin Diesel,United States,125000000,626137675,Matt Damon,Emily Blunt
Midnight in Paris,Comedy,"June 10, 2011 (United States)",7.7,Owen Wilson,Spain,17000000,151653750,Lupita Nyong'o,Johnny Depp
Moneyball,Biography,"September 23, 2011 (United States)",7.6,Brad Pitt,United States,50000000,110206216,Emily Blunt,Nicole Kidman
The Girl with the Dragon Tattoo,Crime,"December 21, 2011 (United States)",7.8,Daniel Craig,United States,90000000,232617430,Sandra Bullock,Denzel Washington
Just Go with It,Comedy,"February 11, 2011 (United States)",6.4,Adam Sandler,United States,80000000,214945591,Samuel L. Jackson,Matt Damon
Drive,Crime,"September 16, 2011 (United States)",7.8,Ryan Gosling,United States,15000000,77187281,Charlize Theron,Jennifer Lawrence
Green Lantern,Action,"June 17, 2011 (United States)",5.5,Ryan Reynolds,United States,200000000,219851172,Daniel Day-Lewis,Meryl Streep
The Cabin in the Woods,Horror,"April 13, 2012 (United States)",7.0,Kristen Connolly,United States,30000000,69935600,Scarlett Johansson,Scarlett Johansson
The Help,Drama,"August 10, 2011 (United States)",8.0,Emma Stone,United States,25000000,216639112,Octavia Spencer,Cate Blanchett
"Crazy, Stupid, Love.",Comedy,"July 29, 2011 (United States)",7.4,Steve Carell,United States,50000000,145051197,Tilda Swinton,Helen Mirren
No Strings Attached,Comedy,"January 21, 2011 (United States)",6.2,Natalie Portman,United States,25000000,149228077,Amy Adams,Morgan Freeman
Pirates of the Caribbean: on Stranger Tides,Action,"May 20, 2011 (United States)",6.6,Johnny Depp,United States,250000000,1045713802,Michael Fassbender,Octavia Spencer
Sucker Punch,Action,"March 25, 2011 (United States)",6.0,Emily Browning,United States,82000000,89792502,Charlize Theron,Charlize Theron
Warrior,Action,"September 9, 2011 (United States)",8.1,Tom Hardy,United States,25000000,23308615,Scarlett Johansson,Rachel McAdams
Kung Fu Panda 2,Animation,"May 26, 2011 (United States)",7.2,Jack Black,United States,150000000,665692281,Mark Ruffalo,Saoirse Ronan
Friends with Benefits,Comedy,"July 22, 2011 (United States)",6.5,Mila Kunis,United States,35000000,149542245,Ryan Gosling,Leonardo DiCaprio
Immortals,Action,"November 11, 2011 (United States)",6.0,Henry Cavill,United States,75000000,226904017,Colin Firth,Johnny Depp
X-Men: First Class,Action,"June 3, 2011 (United States)",7.7,James McAvoy,United States,160000000,352616690,Amy Adams,Octavia Spencer
Contagion,Drama,"September 9, 2011 (United States)",6.7,Matt Damon,United Arab Emirates,60000000,136515867,Helen Mirren,Leonardo DiCaprio
Bad Teacher,Comedy,"June 24, 2011 (United States)",5.6,Cameron Diaz,United States,20000000,216197492,Saoirse Ronan,Michael Fassbender
In Time,Action,"October 28, 2011 (United States)",6.7,Justin Timberlake,United States,40000000,173930596,Natalie Portman,Samuel L. Jackson
One Day,Drama,"August 19, 2011 (United States)",7.0,Anne Hathaway,United States,15000000,59389433,Kate Winslet,Jennifer Lawrence
Scream 4,Horror,"April 15, 2011 (United States)",6.1,Neve Campbell,United States,40000000,97231420,Charlize Theron,Helen Mirren
